,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu,Depo_Hacmi_Kullanabilirliği,Ters_Motor_Gücü,Yakıt_Ekonomisi,Engine_Ratio
176,12,190000.0,1598,105,4.7,55.0,699750,13.458478407377699,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
179,11,117877.0,1197,105,5.7,55.0,660000,13.399995114002609,False,False,False,False,False,True,1.0,0,9.649122807017543,0.009523809523809525,0.05428571428571429,11.4
180,7,52000.0,1197,110,4.9,50.0,1020000,13.835313185260453,False,False,False,False,False,True,1.5,1,10.204081632653061,0.00909090909090909,0.04454545454545455,10.881818181818181
181,7,88756.0,1598,120,4.0,66.0,1480000,14.207552645740298,False,False,False,False,False,True,1.5,1,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
182,5,77000.0,999,95,4.6,40.0,932900,13.746053292949052,False,False,False,False,False,True,1.5,1,8.695652173913045,0.010526315789473684,0.04842105263157894,10.51578947368421
186,6,116000.0,1197,105,5.0,55.0,875000,13.681979165339751,False,False,False,False,False,True,1.0,1,11.0,0.009523809523809525,0.04761904761904762,11.4
187,10,197000.0,1199,75,3.4,45.0,535000,13.190022025878143,False,False,False,False,False,True,1.0,1,13.23529411764706,0.013333333333333334,0.04533333333333334,15.986666666666666
189,9,190000.0,1598,105,3.9,50.0,820000,13.617059619240436,False,False,False,False,False,True,1.5,1,12.820512820512821,0.009523809523809525,0.037142857142857144,15.219047619047618
190,8,71000.0,1197,110,4.9,50.0,775000,13.560618308335483,False,False,False,False,False,True,1.0,1,10.204081632653061,0.00909090909090909,0.04454545454545455,10.881818181818181
191,10,252000.0,1199,75,3.8,45.0,475000,13.071070083016778,False,False,False,False,False,True,1.0,1,11.842105263157896,0.013333333333333334,0.050666666666666665,15.986666666666666
192,13,330000.0,1598,105,4.7,55.0,590000,13.287877815881902,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
193,3,12198.0,999,95,4.4,40.0,869000,13.67509840424753,False,False,False,False,False,True,1.0,1,9.09090909090909,0.010526315789473684,0.04631578947368421,10.51578947368421
194,11,269000.0,1199,75,3.8,45.0,450000,13.017002861746503,False,False,False,False,False,True,1.0,1,11.842105263157896,0.013333333333333334,0.050666666666666665,15.986666666666666
195,11,187000.0,1199,75,3.8,45.0,525000,13.17115354157376,False,False,False,False,False,True,1.0,1,11.842105263157896,0.013333333333333334,0.050666666666666665,15.986666666666666
196,10,211000.0,1598,105,3.9,50.0,728000,13.498056327178823,False,False,False,False,False,True,1.5,0,12.820512820512821,0.009523809523809525,0.037142857142857144,15.219047619047618
197,10,215000.0,1197,105,5.4,55.0,538500,13.19654277557858,False,False,False,False,False,True,1.5,1,10.185185185185185,0.009523809523809525,0.051428571428571435,11.4
198,6,106000.0,999,75,4.7,40.0,650000,13.38472764187182,False,False,False,False,False,True,1.0,0,8.51063829787234,0.013333333333333334,0.06266666666666668,13.32
199,12,120000.0,1598,90,4.3,45.0,598500,13.302181803980165,False,False,False,False,False,True,1.5,0,10.465116279069768,0.011111111111111112,0.04777777777777778,17.755555555555556
201,7,170000.0,1422,90,3.5,45.0,825000,13.623138665316818,False,False,False,False,False,True,1.5,0,12.857142857142858,0.011111111111111112,0.03888888888888889,15.8
203,6,224000.0,1598,120,4.0,66.0,1125000,13.933293593620657,False,False,False,False,False,True,1.5,0,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
204,4,115000.0,1598,120,4.4,66.0,1315000,14.089347223594002,False,False,False,False,False,True,1.5,1,14.999999999999998,0.008333333333333333,0.03666666666666667,13.316666666666666
205,10,156000.0,1390,85,5.9,45.0,683000,13.434250138552928,False,False,False,False,False,True,1.0,1,7.627118644067796,0.011764705882352941,0.06941176470588235,16.352941176470587
206,8,175000.0,1422,90,3.4,45.0,700000,13.458835614025542,False,False,False,False,False,True,1.0,1,13.23529411764706,0.011111111111111112,0.03777777777777778,15.8
208,5,107501.0,1598,120,4.0,59.0,1085000,13.897090544956697,False,False,False,False,False,True,1.5,0,14.75,0.008333333333333333,0.03333333333333333,13.316666666666666
210,6,200000.0,1598,115,4.2,50.0,890000,13.698976741708323,False,False,False,False,False,True,1.5,0,11.904761904761905,0.008695652173913044,0.036521739130434785,13.895652173913044
211,9,150000.0,1197,105,5.7,55.0,795000,13.58609739363647,False,False,False,False,False,True,1.0,1,9.649122807017543,0.009523809523809525,0.05428571428571429,11.4
213,9,165200.0,1598,105,4.7,55.0,848000,13.65063591477404,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
