;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
1233;23483344;Skoda;Fabia;1.2 Classic;2010;153.476 km;Düz;Benzin;Hatchback/5;Siyah;1198 cc;70 hp;Önden Çekiş;5,9 lt;45 lt;Belirtilmemiş;396.500
1242;23480970;Skoda;Fabia;1.2 Ambiente;2013;108.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;1 boyalı;525.000
1283;23460062;Skoda;Fabia;1.2 Ambiente;2012;139.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;1 boyalı;500.000
1010;23583194;Skoda;Fabia;1.2 Optimal;2012;145.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;2 değişen, 4 boyalı;520.000
935;23609534;Skoda;Fabia;1.2 Ambiente;2012;155.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;2 değişen, 2 boyalı;505.000
312;23749169;Skoda;Fabia;1.2 Optimal;2012;164.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;Belirtilmemiş;515.000
690;23669951;Skoda;Fabia;1.2 Ambiente;2011;137.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;"
Tamamı orjinal
";515.000
353;23739562;Skoda;Fabia;1.2 Ambiente;2011;175.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,9 lt;45 lt;Belirtilmemiş;405.000
147;23773711;Skoda;Fabia;1.0 TSI Style;2021;16.000 km;Yarı Otomatik;Benzin;Station wagon;Kırmızı;999 cc;110 hp;Önden Çekiş;4,8 lt;45 lt;3 boyalı;905.000
780;23234485;Skoda;Fabia;1.0 GreenTec Style;2018;137.000 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;"
Tamamı orjinal
";765.000
555;23706339;Skoda;Fabia;1.0 GreenTec Style;2018;24.000 km;Yarı Otomatik;Benzin;Hatchback/5;Siyah;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;1 değişen;860.000
226;23761561;Skoda;Fabia;1.0 GreenTec Style;2018;36.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;1 boyalı;905.000
1143;23528839;Skoda;Fabia;1.0 GreenTec Style;2018;58.000 km;Yarı Otomatik;Benzin;-;Hatchback/5;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;Belirtilmemiş;995.000
644;23685255;Skoda;Fabia;1.0 GreenTec Style;2018;70.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;"
Tamamı orjinal
";770.000
448;23657365;Skoda;Fabia;1.0 GreenTec Style;2018;72.070 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;Belirtilmemiş;785.000
334;23746071;Skoda;Fabia;1.0 GreenTec Style;2018;85.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;1 değişen, 1 boyalı;815.900
280;23604149;Skoda;Fabia;1.0 GreenTec Style;2018;88.000 km;Yarı Otomatik;Benzin;Hatchback/5;Kırmızı;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;"
Tamamı orjinal
";779.900
61;23788559;Skoda;Fabia;1.0 GreenTec Style;2018;97.500 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;Belirtilmemiş;795.000
568;23705083;Skoda;Fabia;1.0 GreenTec Style;2017;28.500 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;110 hp;Önden Çekiş;4,6 lt;45 lt;2 boyalı;800.000
