,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu
3854,8,186000.0,1364,90,4.1,55.0,760000,13.541073712262515,False,False,False,False,True,False,1.5,0
3855,7,129500.0,1329,99,5.8,55.0,680000,13.42984807715229,False,False,False,False,True,False,1.0,1
3856,5,50000.0,1598,132,6.3,55.0,905000,13.715690222682063,False,False,False,False,True,False,1.0,1
3858,6,133000.0,1364,90,4.1,55.0,890000,13.698976741708323,False,False,False,False,True,False,1.5,1
3859,6,46000.0,1329,99,5.8,55.0,849000,13.651814465293484,False,False,False,False,True,False,1.0,1
3860,7,71000.0,1329,99,5.8,55.0,735000,13.507625778194974,False,False,False,False,True,False,1.0,0
3861,6,24000.0,1598,132,6.3,55.0,875000,13.681979165339751,False,False,False,False,True,False,1.0,1
3862,12,217000.0,1364,90,4.7,55.0,680000,13.42984807715229,False,False,False,False,True,False,1.0,1
3863,13,110000.0,1598,132,6.6,55.0,685000,13.437174117244362,False,False,False,False,True,False,1.0,0
3864,2,33000.0,1490,125,5.8,50.0,1129000,13.9368428431318,False,False,False,False,True,False,2.0,1
3866,9,125000.0,1598,132,6.1,55.0,795000,13.58609739363647,False,False,False,False,True,False,2.0,0
3867,11,259000.0,1364,90,4.8,55.0,575000,13.262125319779487,False,False,False,False,True,False,1.0,1
3868,11,148000.0,1364,90,4.8,55.0,730000,13.500799813124575,False,False,False,False,True,False,1.5,0
3869,12,220000.0,1364,90,4.7,55.0,635000,13.36138027787483,False,False,False,False,True,False,1.0,1
3870,1,26000.0,998,72,4.5,42.0,700000,13.458835614025542,False,False,False,False,True,False,1.0,1
3871,12,182500.0,1364,90,4.8,55.0,735000,13.507625778194974,False,False,False,False,True,False,1.5,0
3872,9,147500.0,1329,99,5.8,55.0,682000,13.432784936825598,False,False,False,False,True,False,1.0,0
3874,4,58000.0,1496,111,4.8,42.0,812000,13.607255619143816,False,False,False,False,True,False,2.0,1
3875,8,37000.0,1598,132,6.3,55.0,820000,13.617059619240436,False,False,False,False,True,False,1.0,1
3876,7,62500.0,1329,99,5.8,55.0,815000,13.610943392223,False,False,False,False,True,False,1.0,1
3877,12,94000.0,1329,99,5.9,55.0,590000,13.287877815881902,False,False,False,False,True,False,1.0,1
3878,12,199826.0,1598,132,6.6,60.0,669000,13.413539339110365,False,False,False,False,True,False,1.0,1
3879,5,36500.0,1598,132,6.3,55.0,980000,13.795307850646754,False,False,False,False,True,False,1.0,1
3880,12,222000.0,1364,90,5.0,55.0,519000,13.159659162148026,False,False,False,False,True,False,1.0,0
3881,0,6100.0,1490,125,6.3,50.0,1295000,14.074021253115776,False,False,False,False,True,False,2.0,1
3883,8,127500.0,1364,90,4.0,50.0,850000,13.652991628466498,False,False,False,False,True,False,1.0,0
3884,13,185000.0,1364,90,4.8,55.0,637000,13.3645249345543,False,False,False,False,True,False,1.5,0
3885,5,67000.0,1329,99,5.8,55.0,900000,13.710150042306449,False,False,False,False,True,False,1.0,1
